"(x1,y1)","(x2,y2)","(x3,y3)","(x4,y4)","(x5,y5)","(x6,y6)"
"(192, 6)","(172, 9)","(160, 28)","(175, 49)","(197, 43)","(207, 26)"
"(171, 59)","(171, 83)","(187, 91)","(211, 86)","(209, 61)","(194, 54)"
"(192, 6)","(172, 9)","(160, 29)","(175, 49)","(197, 43)","(207, 26)"
"(193, 53)","(169, 65)","(170, 82)","(187, 91)","(212, 84)","(212, 65)"
"(194, 7)","(172, 10)","(160, 29)","(175, 49)","(202, 46)","(207, 20)"
"(193, 53)","(169, 65)","(170, 82)","(187, 91)","(212, 84)","(212, 65)"
"(194, 7)","(172, 9)","(160, 29)","(175, 49)","(202, 46)","(207, 20)"
"(193, 53)","(169, 65)","(171, 83)","(187, 91)","(212, 84)","(212, 65)"
"(194, 7)","(172, 10)","(160, 29)","(175, 49)","(202, 46)","(207, 20)"
"(170, 60)","(171, 83)","(187, 91)","(211, 86)","(207, 60)","(193, 53)"
